Time(ms),Axle_Torque_Setpoint(N.m),Axle_Torque_Feedback(N.m),Speed_Feedback(m/s)
15.8,-1500,0,0
20.1,-1500,0,0
35.7,-1500,0,0
50.1,-1500,0,0
55.8,-1500,0,0
75.8,-1500,0,0
79.7,-1500,0,0
95.8,-1500,0,0
100,-1500,0,0
115.8,-1500,0,0
120.7,-1500,0,0
135.8,-1500,0,0
140.4,-1500,0,0
155.8,-1500,0,0
160,-1500,0,0
175.7,-1500,0,0
180.3,-1500,0,0
195.8,-1500,0,0
210.6,-1500,0,0
215.8,-1500,0,0
229.7,-1500,0,0
235.8,-1500,0,0
255.8,-1500,0,0
260.1,-1500,0,0
275.8,-1500,0,0
279.6,-1500,0,0
295.8,-1500,0,0
300.5,-1500,0,0
315.8,-1500,0,0
319.2,-1500,0,0
336.3,-1500,0,0
339.2,-1500,0,0
355.8,-1500,0,0
359.9,-1500,0,0
375.8,-1500,0,0
378.8,-1500,0,0
395.8,-1500,0,0
399.1,-1500,0,0
415.8,-1500,0,0
419.6,-1500,0,0
435.8,-1500,0,0
439.3,-1500,0,0
455.7,-1500,0,0
459.3,-1500,0,0
475.7,-1500,0,0
479,-1500,0,0
495.7,-1500,0,0
509.7,-1500,0,0
515.7,-1500,0,0
535.7,-1500,0,0
539.7,-1500,0,0
555.9,-1500,0,0
569.4,-1500,0,0
575.8,-1500,0,0
595.8,-1500,0,0
599.4,-1500,0,0
615.8,-1500,0,0
629.2,-1500,0,0
635.8,-1500,0,0
655.7,-1500,0,0
658.8,-1500,0,0
675.7,-1500,0,0
688.8,-1500,0,0
695.8,-1500,0,0
715.7,-1500,0,0
719,-1500,0,0
735.8,-1500,0,0
749.3,-1500,0,0
755.8,-1500,0,0
775.8,-1500,0,0
779.2,-1500,0,0
795.7,-1500,0,0
798.1,-1500,0,0
815.7,-1500,0,0
817.9,-1500,0,0
835.7,-1500,0,0
838.5,-1500,0,0
855.8,-1500,0,0
869.1,-1500,0,0
875.8,-1500,0,0
895.9,-1500,0,0
898.2,-1500,0,0
915.7,-1500,0,0
929.1,-1500,0,0
935.8,-1500,0,0
955.7,-1500,0,0
958,-1500,0,0
975.7,-1500,0,0
988,-1500,0,0
996,-1500,0,0
1015.7,-1500,0,0
1017.5,-1500,0,0
1035.7,-1500,0,0
1048.7,-1500,0,0
1055.7,-1500,0,0
1075.8,-1500,0,0
1077.9,-1500,0,0
1095.7,-1500,0,0
1108.2,-1500,0,0
1115.7,-1500,0,0
1135.7,-1500,0,0
1138.5,-1500,0,0
1155.7,-1500,0,0
1167.9,-1500,0,0
1175.7,-1500,0,0
1195.7,-1500,0,0
1197.6,-1500,0,0
1215.7,-1500,0,0
1227.3,-1500,0,0
1235.7,-1500,0,0
1255.7,-1500,0,0
1257.2,-1500,0,0
1275.7,-1500,0,0
1277.2,-1500,0,0
1295.7,-1500,0,0
1298.1,-1500,0,0
1315.7,-1500,0,0
1328.8,-1500,0,0
1335.7,-1500,0,0
1355.8,-1500,0,0
1358.4,-1500,0,0
1375.7,-1500,0,0
1388.3,-1500,0,0
1395.7,-1500,0,0
1416.4,-1500,0,0
1418.2,-1500,0,0
1435.9,-1500,0,0
1448.3,-1500,0,0
1456,-1500,0,0
1475.8,-1500,0,0
1478,-1500,0,0
1496.3,-1500,0,0
1507.5,-1500,0,0
1516.2,-1500,0,0
1526.5,-1500,0,0
1536.2,-1500,0,0
1547.2,-1500,0,0
1556.1,-1500,0,0
1567.7,-1500,0,0
1575.7,-1500,0,0
1586.9,-1500,0,0
1595.8,-1500,0,0
1615.7,-1500,0,0
1616.9,-1500,0,0
1635.7,-1500,0,0
1637.5,-1500,0,0
1655.7,-1500,0,0
1657.8,-1500,0,0
1675.7,-1500,0,0
1687.7,-1500,0,0
1695.8,-1500,0,0
1715.7,-1500,0,0
1717.3,-1500,0,0
1735.7,-1500,0,0
1736.9,-1500,0,0
1755.8,-1500,0,0
1766.4,-1500,0,0
1775.8,-1500,0,0
1786,-1500,0,0
1795.8,-1500,0,0
1806.5,-1500,0,0
1815.9,-1500,0,0
1835.8,-1500,0,0
1837.2,-1500,0,0
1856.1,-1500,0,0
1867.3,-1500,0,0
1876.1,-1500,0,0
1895.8,-1500,0,0
1897,-1500,0,0
1915.8,-1500,0,0
1926.8,-1500,0,0
1936.2,-1500,0,0
1955.8,-1500,0,0
1957.2,-1500,0,0
1976.3,-1500,0,0
1977,-1500,0,0
1996,-1500,0,0
1996.7,-1500,0,0
2015.6,-1500,0,0
2017,-1500,0,0
2035.9,-1500,0,0
2036.1,-1500,0,0
2055.6,-1500,0,0
2056.8,-1500,0,0
2075.6,-1500,0,0
2077.1,-1500,0,0
2095.5,-1500,0,0
2095.7,-1500,0,0
2115.7,-1500,0,0
2116.8,-1500,0,0
2135.6,-1500,0,0
2137,-1500,0,0
2155.7,-1500,0,0
2166.3,-1500,0,0
2175.7,-1500,0,0
2186,-1500,0,0
2195.7,-1500,0,0
2207,-1500,0,0
2215.8,-1500,0,0
2235.7,-1500,0,0
2237.4,-1500,0,0
2255.8,-1500,0,0
2266.3,-1500,0,0
2275.8,-1500,0,0
2285.7,-1500,0,0
2295.7,-1500,0,0
2306,-1500,0,0
2315.7,-1500,0,0
2326.5,-1500,0,0
2335.8,-1500,0,0
2345.8,-1500,0,0
2355.7,-1500,0,0
2366.1,-1500,0,0
2375.7,-1500,0,0
2386.4,-1500,0,0
2396,-1500,0,0
2415.7,-1500,0,0
2416.9,-1500,0,0
2435.8,-1500,0,0
2437,-1500,0,0
2455.7,-1500,0,0
2456,-1500,0,0
2476,-1500,0,0
2476.8,-1500,0,0
2495.6,-1500,0,0
2506.1,-1500,0,0
2515.7,-1500,0,0
2535.6,-1500,0,0
2536.9,-1500,0,0
2555.7,-1500,0,0
2566,-1500,0,0
2575.6,-1500,0,0
2595.6,-1500,0,0
2597.1,-1500,0,0
2615.6,-1500,0,0
2626,-1500,0,0
2635.6,-1500,0,0
2655.9,-1500,0,0
2656.7,-1500,0,0
2675.6,-1500,0,0
2685.9,-1500,0,0
2695.7,-1500,0,0
2715.6,-1500,0,0
2716.4,-1500,0,0
2735.7,-1500,0,0
2745.5,-1500,0,0
2755.6,-1500,0,0
2764.8,-1500,0,0
2775.6,-1500,0,0
2784.3,-1500,0,0
2795.6,-1500,0,0
2805.5,-1500,0,0
2815.6,-1500,0,0
2835.6,-1500,0,0
2836.6,-1500,0,0
2855.6,-1500,0,0
2864.9,-1500,0,0
2875.7,-1500,0,0
2895.5,-1500,0,0
2895.7,-1500,0,0
2915.6,-1500,0,0
2925.5,-1500,0,0
2935.6,-1500,0,0
2955.1,-1500,0,0
2955.7,-1500,0,0
2975.7,-1500,0,0
2985.3,-1500,0,0
2995.6,-1500,0,0
3015,-1500,0,0
3015.8,-1500,0,0
3035.6,-1500,0,0
3044.8,-1500,0,0
3055.6,-1500,0,0
3074.9,-1500,0,0
3075.6,-1500,0,0
3095.7,-1500,0,0
3104.8,-1500,0,0
3115.6,-1500,0,0
3135,-1500,0,0
3135.6,-1500,0,0
3155.6,-1500,0,0
3164.7,-1500,0,0
3175.6,-1500,0,0
3194.7,-1500,0,0
3195.9,-1500,0,0
3215.6,-1500,0,0
3225.1,-1500,0,0
3235.6,-1500,0,0
3254,-1500,0,0
3255.6,-1500,0,0
3275.6,-1500,0,0
3284,-1500,0,0
3295.6,-1500,0,0
3313.7,-1500,0,0
3315.6,-1500,0,0
3334.8,-1500,0,0
3335.5,-1500,0,0
3354.4,-1500,0,0
3355.5,-1500,0,0
3375.5,-1500,0,0
3384.3,-1500,0,0
3395.6,-1500,0,0
3403.7,-1500,0,0
3415.6,-1500,0,0
3424.1,-1500,0,0
3435.5,-1500,0,0
3444.8,-1500,0,0
3455.5,-1500,0,0
3474.5,-1500,0,0
3475.5,-1500,0,0
3495.6,-1500,0,0
3504.5,-1500,0,0
3515.5,-1500,0,0
3534.5,-1500,0,0
3536,-1500,0,0
3553.8,-1500,0,0
3555.9,-1500,0,0
3575.6,-1500,0,0
3583.1,-1500,0,0
3595.6,-1500,0,0
3603,-1500,0,0
3615.6,-1500,0,0
3623.9,-1500,0,0
3635.6,-1500,0,0
3644.2,-1500,0,0
3655.5,-1500,0,0
3673.4,-1500,0,0
3675.7,-1500,0,0
3693.3,-1500,0,0
3695.6,-1500,0,0
3714.2,-1500,0,0
3715.7,-1500,0,0
3735.6,-1500,0,0
3744.3,-1500,0,0
3755.6,-1500,0,0
3773.9,-1500,0,0
