Time (ms),Axle_Torque_Setpoint(N.m),Axle_Torque_Feedback(N.m),Speed_Feedback(m/s)
16.5,-1500,0,0
16.8,-1500,0,0
36.3,-1500,0,0
46.5,-1500,0,0
56.3,-1500,0,0
66,-1500,0,0
76.2,-1500,0,0
95.5,-1500,0,0
96.2,-1500,0,0
115.6,-1500,0,0
116.2,-1500,0,0
136,-1500,0,0
136.5,-1500,0,0
156.3,-1500,0,0
166.8,-1500,0,0
176.3,-1500,0,0
196,-1500,0,0
196.3,-1500,0,0
216.3,-1500,0,0
225.3,-1500,0,0
236.3,-1500,0,0
255.7,-1500,0,0
256.6,-1500,0,0
274.7,-1500,0,0
276.2,-1500,0,0
296.3,-1500,0,0
304.4,-1500,0,0
316.3,-1500,0,0
324.4,-1500,0,0
336.2,-1500,0,0
345,-1500,0,0
356.2,-1500,0,0
375.1,-1500,0,0
376.2,-1500,0,0
396.2,-1500,0,0
404.7,-1500,0,0
416.2,-1500,0,0
435.1,-1500,0,0
436.3,-1500,0,0
456.3,-1500,0,0
465.4,-1500,0,0
476.3,-1500,0,0
495.1,-1500,0,0
496.2,-1500,0,0
516.3,-1500,0,0
524.9,-1500,0,0
536.3,-1500,0,0
544.2,-1500,0,0
556.3,-1500,0,0
564.5,-1500,0,0
576.3,-1500,0,0
584.6,-1500,0,0
596.3,-1500,0,0
603.9,-1500,0,0
616.2,-1500,0,0
623.9,-1500,0,0
636.3,-1500,0,0
644.5,-1500,0,0
656.2,-1500,0,0
663.9,-1500,0,0
676.2,-1500,0,0
684.4,-1500,0,0
696.2,-1500,0,0
704.6,-1500,0,0
716.2,-1500,0,0
734.6,-1500,0,0
736.2,-1500,0,0
756.2,-1500,0,0
764.3,-1500,0,0
776.3,-1500,0,0
794.5,-1500,0,0
796.2,-1500,0,0
816.3,-1500,0,0
824,-1500,0,0
836.2,-1500,0,0
853.8,-1500,0,0
856.2,-1500,0,0
873.3,-1500,0,0
876.3,-1500,0,0
893.6,-1500,0,0
896.2,-1500,0,0
913.3,-1500,0,0
916.2,-1500,0,0
936.3,-1500,0,0
943.3,-1500,0,0
956.2,-1500,0,0
962.8,-1500,0,0
976.2,-1500,0,0
983.3,-1500,0,0
996.2,-1500,0,0
1003.4,-1500,0,0
1016.2,-1500,0,0
1033.1,-1500,0,0
1036.3,-1500,0,0
1056.2,-1500,0,0
1063.1,-1500,0,0
1076.3,-1500,0,0
1082.8,-1500,0,0
1096.2,-1500,0,0
1103.2,-1500,0,0
1116.2,-1500,0,0
1122.6,-1500,0,0
1136.2,-1500,0,0
1142.5,-1500,0,0
1156.2,-1500,0,0
1163.2,-1500,0,0
1176.2,-1500,0,0
1192.6,-1500,0,0
1196.2,-1500,0,0
1216.2,-1500,0,0
1223,-1500,0,0
1236.2,-1500,0,0
1253,-1500,0,0
1256.2,-1500,0,0
1273.3,-1500,0,0
1276.2,-1500,0,0
1296.2,-1500,0,0
1302.4,-1500,0,0
