Time(ms);Axle_Torque_Setpoint(N.m);Axle_Torque_Feedback(N.m);Speed_Feedback(m/s)
13.4;-1500;0;0
15.1;-1500;0;0
33.3;-1500;0;0
45.4;-1500;0;0
53.4;-1500;0;0
64.8;-1500;0;0
73.3;-1500;0;0
93.3;-1500;0;0
94.8;-1500;0;0
113.3;-1500;0;0
114.6;-1500;0;0
133.3;-1500;0;0
134.6;-1500;0;0
153.3;-1500;0;0
154.7;-1500;0;0
173.3;-1500;0;0
174.4;-1500;0;0
193.3;-1500;0;0
194.7;-1500;0;0
213.3;-1500;0;0
214.7;-1500;0;0
233.5;-1500;0;0
234.2;-1500;0;0
253.3;-1500;0;0
254.4;-1500;0;0
273.3;-1500;0;0
274.7;-1500;0;0
293.4;-1500;0;0
294.6;-1500;0;0
313.6;-1500;0;0
314.8;-1500;0;0
333.5;-1500;0;0
344.9;-1500;0;0
353.4;-1500;0;0
364.3;-1500;0;0
373.4;-1500;0;0
383.6;-1500;0;0
393.3;-1500;0;0
404.5;-1500;0;0
413.3;-1500;0;0
433.4;-1500;0;0
434.6;-1500;0;0
453.4;-1500;0;0
465.1;-1500;0;0
473.3;-1500;0;0
493.5;-1500;0;0
494.6;-1500;0;0
513.6;-1500;0;0
525.1;-1500;0;0
533.3;-1500;0;0
553.6;-1500;0;0
553.8;-1500;0;0
573.3;-1500;0;0
583.8;-1500;0;0
593.3;-1500;0;0
613.5;-1500;0;0
616;-1500;0;0
633.3;-1500;0;0
644.2;-1500;0;0
653.3;-1500;0;0
663.4;-1500;0;0
673.4;-1500;0;0
683.7;-1500;0;0
693.3;-1500;0;0
703.9;-1500;0;0
713.4;-1500;0;0
733.7;-1500;0;0
734.4;-1500;0;0
752.4;-1500;0;0
753.2;-1500;0;0
773.2;-1500;0;0
774.6;-1500;0;0
793.2;-1500;0;0
804;-1500;0;0
813.2;-1500;0;0
833.6;-1500;0;0
835;-1500;0;0
853.4;-1500;0;0
864.7;-1500;0;0
873.3;-1500;0;0
893.3;-1500;0;0
894.7;-1500;0;0
913.3;-1500;0;0
924.2;-1500;0;0
933.3;-1500;0;0
953.7;-1500;0;0
954.7;-1500;0;0
973.2;-1500;0;0
983.9;-1500;0;0
993.2;-1500;0;0
1013.4;-1500;0;0
1014.4;-1500;0;0
1033.2;-1500;0;0
1044.6;-1500;0;0
1053.2;-1500;0;0
1073.3;-1500;0;0
1074.1;-1500;0;0
1093.2;-1500;0;0
1104;-1500;0;0
1113.2;-1500;0;0
1133.5;-1500;0;0
1134.4;-1500;0;0
1153.3;-1500;0;0
1164.5;-1500;0;0
1173.3;-1500;0;0
1193.3;-1500;0;0
1194;-1500;0;0
1213;-1500;0;0
1213.3;-1500;0;0
1233.3;-1500;0;0
1243;-1500;0;0
1253.2;-1500;0;0
1263.3;-1500;0;0
1273.3;-1500;0;0
1283.7;-1500;0;0
1293.2;-1500;0;0
1302.7;-1500;0;0
1313.4;-1500;0;0
1323.6;-1500;0;0
1333.3;-1500;0;0
1343.4;-1500;0;0
1353.2;-1500;0;0
1363.5;-1500;0;0
1373.2;-1500;0;0
1383;-1500;0;0
1393.2;-1500;0;0
1403.5;-1500;0;0
1413.2;-1500;0;0
1422.9;-1500;0;0
1433.2;-1500;0;0
1443.8;-1500;0;0
1453.2;-1500;0;0
1463.9;-1500;0;0
1473.5;-1500;0;0
1493.4;-1500;0;0
1493.6;-1500;0;0
1513.3;-1500;0;0
1523.4;-1500;0;0
1533.4;-1500;0;0
1552.9;-1500;0;0
1555.3;-1500;0;0
1573.3;-1500;0;0
1582.8;-1500;0;0
1593.3;-1500;0;0
1602.8;-1500;0;0
1613.3;-1500;0;0
1623.7;-1500;0;0
1633.4;-1500;0;0
1653.3;-1500;0;0
1653.5;-1500;0;0
1673.3;-1500;0;0
1673.5;-1500;0;0
1693.3;-1500;0;0
1702.7;-1500;0;0
1713.4;-1500;0;0
1722.5;-1500;0;0
1733.2;-1500;0;0
1742.7;-1500;0;0
1753.2;-1500;0;0
1772.7;-1500;0;0
1773.2;-1500;0;0
1793.2;-1500;0;0
1803.2;-1500;0;0
1813.3;-1500;0;0
1833;-1500;0;0
1833.2;-1500;0;0
1852;-1500;0;0
1853.2;-1500;0;0
1872.2;-1500;0;0
1873.2;-1500;0;0
1892.7;-1500;0;0
1893.4;-1500;0;0
1911.8;-1500;0;0
1913.2;-1500;0;0
1932.3;-1500;0;0
1933.2;-1500;0;0
1952.7;-1500;0;0
1953.4;-1500;0;0
1971.8;-1500;0;0
1973.2;-1500;0;0
1993.2;-1500;0;0
2001.7;-1500;0;0
2013.3;-1500;0;0
2022.2;-1500;0;0
2033.2;-1500;0;0
2042.1;-1500;0;0
2053.2;-1500;0;0
2062.1;-1500;0;0
2073.2;-1500;0;0
2091.8;-1500;0;0
2093.4;-1500;0;0
2110.6;-1500;0;0
2113.1;-1500;0;0
2132.1;-1500;0;0
2133.1;-1500;0;0
2153.2;-1500;0;0
2162.3;-1500;0;0
2173.2;-1500;0;0
2191.6;-1500;0;0
2193.2;-1500;0;0
2211.3;-1500;0;0
2213.2;-1500;0;0
2233.2;-1500;0;0
2241.1;-1500;0;0
2253.2;-1500;0;0
2260.9;-1500;0;0
2273.2;-1500;0;0
2281.3;-1500;0;0
2293.2;-1500;0;0
2311.6;-1500;0;0
2313.2;-1500;0;0
2333.2;-1500;0;0
2341.3;-1500;0;0
2353.2;-1500;0;0
2361;-1500;0;0
2373.2;-1500;0;0
2391.2;-1500;0;0
2393.2;-1500;0;0
2411.7;-1500;0;0
2413.2;-1500;0;0
2431.2;-1500;0;0
2433.2;-1500;0;0
2453.2;-1500;0;0
2461.1;-1500;0;0
2473.2;-1500;0;0
2490.6;-1500;0;0
2493.2;-1500;0;0
2510.3;-1500;0;0
2513.2;-1500;0;0
2529.7;-1500;0;0
2533.1;-1500;0;0
2550.7;-1500;0;0
2553.1;-1500;0;0
2569.9;-1500;0;0
2573.1;-1500;0;0
2593.2;-1500;0;0
2599.4;-1500;0;0
2613.2;-1500;0;0
2629.1;-1500;0;0
2633.2;-1500;0;0
2649.8;-1500;0;0
2653.2;-1500;0;0
2670.4;-1500;0;0
2673.2;-1500;0;0
2693.2;-1500;0;0
2699.9;-1500;0;0
2713.2;-1500;0;0
2729.4;-1500;0;0
2733.1;-1500;0;0
2753.2;-1500;0;0
2760.8;-1500;0;0
2773.2;-1500;0;0
2789.4;-1500;0;0
2793.2;-1500;0;0
2808.9;-1500;0;0
2813.2;-1500;0;0
2829.5;-1500;0;0
2833.1;-1500;0;0
2849.6;-1500;0;0
2853.2;-1500;0;0
2868.6;-1500;0;0
2873.2;-1500;0;0
2889.6;-1500;0;0
2893.1;-1500;0;0
2909.4;-1500;0;0
2913.2;-1500;0;0
2933.1;-1500;0;0
2939;-1500;0;0
2953.1;-1500;0;0
