T,S,Z
16.583,2852.85,0.2037
18.988,1468.7,0.4264
29.45,1230,0.5562
7.644,2347.2,0.5916
32.495,956.87,0.5723
38.412,1260.72,0.5917
33.2,1607.55,0.6014
15.582,1890.05,0.6534
40.85,894.34,0.627
49.164,596.55,0.6767
13.289,2195.96,0.735
12.272,2371.65,0.6745
60.795,1432.6,0.7056
53.025,958.65,0.7154
117.075,1183.35,0.7008
47.7,1467.61,0.7178
28.035,1919.4,0.7828
2.5,4425.2,0.8085
10.735,2630.4,0.78
61.824,938.08,0.8
23.381,2238.6,0.7872
6.666,4092.43,0.83
36.181,1821,0.83
57.018,1187.76,0.8051
10.094,2979.2,0.798
19.488,2493.63,0.8484
48.609,1795,0.8148
22.698,4122.82,0.867
7.505,3636,0.8772
31.6,2126.05,0.8858
17.85,2834,0.8787
28.987,2802.8,0.87
53.346,2609.84,0.9135
53.53,2687.36,0.8439
52.38,1705.25,0.8526
5.05,4382.65,0.836
9.595,4425.2,0.88
20.37,4066.02,0.88
23.808,3392.64,0.8976
27.371,3498.66,0.8976
69.319,2209.66,0.88
14.847,4309.52,0.8633
24.096,2710,0.8633
36.865,2126.05,0.9167
72,1183.05,0.8544
24.735,2882.88,0.855
31.824,3473.91,0.927
40.788,3079.65,0.855
44.352,2269.44,0.9
46.272,2558.78,0.927
62.304,1783,0.873
76.1,887,0.918
76.538,1426.56,0.918
87.87,1403.15,0.927
83.125,1709.73,0.945
99.716,1116.47,0.945
28.684,2530.5,0.9464
87.138,1451.38,0.9373
13.802,3573.9,0.9476
37.595,2469.94,0.966
42.33,2470,0.966
42.874,2754.05,0.9292
52,2163.84,0.8832
63.08,1942.75,0.9108
67.32,1564.16,0.966
81.279,1233.44,0.9384
86.632,1819.65,0.8832
87.87,550.2,0.9384
95.76,1517.19,0.92
13.39,4387.76,0.9021
20.055,3763.2,0.9021
22.374,3991.55,0.93
23.816,3063.06,0.9021
45.374,2096,0.9579
44.175,2922.3,0.9486
51.1,1975.05,0.9579
62.296,1842.67,0.9207
73.632,1926.6,0.9765
83.712,875.67,0.8835
18.236,4058.48,0.893
31.556,2573.76,0.987
45.186,2744.56,0.9494
46.53,2849,0.893
58.092,2020.76,0.94
65.52,2209.66,0.9588
77,2075.84,0.987
93.66,1225.12,0.9024
98.098,1392.96,0.893
29.498,3074.55,0.912
32.11,2907.66,0.912
38.178,2586.99,0.9792
54.136,2271.74,0.96
61.74,2309,0.9312
68.02,1757,0.96
16.463,3983.04,0.9409
48.609,2376.53,0.9409
39.382,2546.88,0.9595
