;Time(ms);Axle_Torque_Feedback(N.m);;Time(ms);Speed_Feedback(m/s)
1760710751;0;-2;;0;0
1760710751;30,03001213;0;;9,969949722;0
1760710751;60,02020836;0;;19,94991302;0
1760710751;89,78009224;0;;29,98995781;0
1760710751;119,8601723;0;;40,19999504;0
1760710751;149,2900848;0;;50,29988289;0
1760710751;179,8801422;0;;60,20998955;0
1760710751;210,0100517;0;;69,71001625;0
1760710751;240,1201725;0;;79,7598362;0
1760710751;259,6101761;0;;89,74003792;0
1760710751;280,4701328;0;;99,88999367;0
1760710751;310,0202084;0;;109,8299026;0
1760710751;339,9000168;0;;120,0199127;0
1760710751;369,8401451;0;;130,5098534;0
1760710751;401,4201164;0;;140,2299404;0
1760710751;419,4002151;0;;150,2199173;0
1760710751;449,2101669;0;;160,4800224;0
1760710751;469,4499969;0;;170,1598167;0
1760710752;491,3702011;0;;180,2098751;0
1760710752;509,9999905;0;;190,3598309;0
1760710752;539,37006;0;;199,6898651;0
1760710752;560,9002113;0;;209,8999023;0
1760710752;580,8300972;0;;220,0100422;0
1760710752;610,4500294;0;;230,0598621;0
1760710752;639,4500732;0;;248,0399609;0
1760710752;669,6801186;0;;250,0398159;0
1760710752;699,8000145;0;;260,0598335;0
1760710752;728,6200523;0;;270,0300217;0
1760710752;759,2301369;-2;;280,1098824;0
1760710752;778,8801193;0;;290,1799679;0
1760710752;808,9702129;0;;300,2798557;0
1760710752;839,0200138;0;;310,2300167;0
1760710752;861,0401154;0;;319,909811;0
1760710752;879,360199;0;;329,9598694;0
1760710752;908,850193;0;;340,0199413;0
1760710752;938,860178;0;;350,0699997;0
1760710752;968,6501026;0;;359,8999977;0
1760710752;998,6100197;0;;369,9200153;0
1760710752;1028,600216;0;;380,0199032;0
1760710752;1058,130026;-2;;389,9698257;0
1760710752;1088,450193;0;;400,0298977;0
1760710752;1107,390165;0;;410,2299213;0
1760710752;1127,940178;0;;420,3999043;0
1760710752;1147,320032;0;;430,4599762;0
1760710752;1176,63002;0;;440,5298233;0
1760710752;1207,520008;0;;449,9998093;0
1760710752;1237,680197;0;;459,7799778;0
1760710752;1267,450094;0;;469,9599743;0
1760710752;1297,730207;0;;479,9199104;0
1760710752;1317,510128;0;;489,9799824;0
1760710752;1338,810205;0;;499,8598099;0
1760710752;1368,260145;0;;510,0798607;0
1760710752;1398,290157;2;;520,2200413;0
1760710752;1416,400194;0;;530,299902;0
1760710752;1447,160006;0;;540,3900146;0
1760710752;1467,530012;0;;550,3900051;0
1760710753;1487,560034;0;;560,2998734;0
1760710753;1518,890142;0;;569,7999001;0
1760710753;1547,120094;0;;579,7300339;0
1760710753;1578,070164;0;;589,9200439;0
1760710753;1607,089996;0;;599,8499393;0
1760710753;1637,979984;-2;;609,8899841;0
1760710753;1667,230129;0;;620,169878;0
1760710753;1697,860003;0;;630,1898956;0
1760710753;1726,500034;0;;640,2599812;0
1760710753;1758,680105;0;;650,0298977;0
1760710753;1787,410021;0;;660,3000164;0
1760710753;1806,040049;0;;670,1798439;0
1760710753;1836,240053;0;;680,2699566;0
1760710753;1856,140137;2;;690,2899742;0
1760710753;1876,360178;0;;699,630022;0
1760710753;1906,820059;0;;709,8200321;0
1760710753;1936,390162;0;;720,3698158;0
1760710753;1967,660189;0;;730,0198078;0
1760710753;1996,020079;0;;740,1800156;0
1760710753;2026,980162;0;;750,6299019;0
1760710753;2057,100058;0;;760,1299286;0
1760710753;2086,750031;0;;770,1699734;0
1760710753;2116,550207;0;;780,0998688;0
1760710753;2146,290064;0;;790,2798653;0
1760710753;2165,010214;0;;800,1298904;0
1760710753;2185,750008;0;;810,2698326;0
1760710753;2205,960035;0;;819,7999001;0
1760710753;2230,800152;0;;829,8900127;0
1760710753;2246,180058;0;;840,0199413;0
1760710753;2266,090155;0;;850,0299454;0
1760710753;2286,030054;0;;859,9100113;0
1760710753;2307,120085;0;;869,9400425;0
1760710753;2337,120056;0;;879,8899651;0
1760710753;2366,100073;0;;890,0499344;0
1760710753;2395,889997;0;;899,9898434;0
1760710753;2425,760031;0;;909,9998474;0
1760710753;2447,590113;0;;920,0999737;0
1760710753;2475,340128;0;;930,1099777;0
1760710754;2505,230188;0;;940,1500225;0
1760710754;2525,000095;0;;949,9599934;0
1760710754;2545,870066;0;;960,0198269;0
1760710754;2575,489998;0;;969,9399471;0
1760710754;2605,690002;0;;979,8698425;0
1760710754;2635,120153;0;;990,0398254;0
1760710754;2665,05003;0;;999,8898506;0
1760710754;2695,900202;-2;;1010,059834;0
1760710754;2725,589991;0;;1020,299911;0
1760710754;2755,079985;0;;1030,309916;0
1760710754;2785,270214;0;;1040,369987;0
1760710754;2816,090107;0;;1050,139904;0
1760710754;2845,650196;0;;1060,50992;0
1760710754;2876,01018;0;;1069,619894;0
1760710754;2905,450106;0;;1079,72002;0
1760710754;2935,170174;0;;1089,730024;0
1760710754;2956,270218;0;;1099,900007;0
1760710754;2974,760056;0;;1110,11982;0
1760710754;2994,790077;0;;1120,03994;0
1760710754;3014,569998;0;;1130,579948;0
1760710754;3035,600185;0;;1140,300035;0
1760710754;3055,510044;0;;1150,31004;0
1760710754;3074,19014;2;;1160,099983;0
1760710754;3094,750166;0;;1170,130014;0
1760710754;3117,29002;0;;1180,179834;0
1760710754;3144,840002;0;;1190,219879;0
1760710754;3174,490213;0;;1199,609995;0
1760710754;3204,410076;0;;1209,65004;0
1760710754;3234,369993;0;;1219,749928;0
1760710754;3264,970064;0;;1230,010033;0
1760710754;3287,410021;0;;1243,880033;0
1760710754;3306,090117;2;;1250,089884;0
1760710754;3335,500002;0;;1260,010004;0
1760710754;3365,540028;0;;1270,139933;0
1760710754;3395,009995;0;;1280,040026;0
1760710754;3415,250063;0;;1290,069818;0
1760710754;3444,000006;0;;1300,159931;0
1760710754;3464,030027;0;;1310,169935;0
1760710755;3484,31015;0;;1319,57984;0
1760710755;3516,720057;0;;1329,730034;0
1760710755;3545,020103;0;;1339,920044;0
1760710755;3574,690104;0;;1350,159883;0
1760710755;3604,700089;0;;1360,039949;0
1760710755;3634,710073;0;;1370,090008;0
1760710755;3664,160013;0;;1380,019903;0
1760710755;3695,200205;0;;1390,169859;0
1760710755;3724,320173;0;;1400,079966;0
1760710755;3743,280172;0;;1410,019875;0
1760710755;3764,080048;0;;1420,079947;0
1760710755;3786,170006;0;;1430,189848;0
1760710755;3804,020166;0;;1440,419912;0
1760710755;3824,470043;-2;;1449,609995;0
1760710755;3844,610214;0;;1460,000038;0
1760710755;3876,440048;0;;1469,859838;0
1760710755;3904,030085;0;;1479,789972;0
1760710755;3923,360109;0;;1489,830017;0
1760710755;3953,890085;0;;1499,909878;0
1760710755;3973,720074;0;;1509,899855;0
1760710755;3994,360209;0;;1520,069838;0
1760710755;4012,390137;0;;1530,329943;0
1760710755;4034,200191;0;;1540,31992;0
1760710755;4056,210041;2;;1550,089836;0
1760710755;4083,880186;0;;1560,299873;0
1760710755;4114,430189;0;;1569,569826;0
1760710755;4143,360138;0;;1579,659939;0
1760710755;4174,510002;-2;;1589,699984;0
